layer	module	module_path	a_key	b_key	a_rows	a_cols	b_rows	b_cols	rank_configured	alpha	scale_alpha_over_r	sigma_1	sigma_2	sigma_3	sigma_4	sigma_2_over_sigma_1	sigma_3_over_sigma_1	sigma_4_over_sigma_1	condition_number_sigma1_over_sigma4	numerical_rank_fp32	numerical_rank_fp64	numerical_rank_tolerance_fp32	numerical_rank_tolerance_fp64	entropy_effective_rank	entropy_effective_rank_fraction_of_4	stable_rank	stable_rank_fraction_of_4	frobenius_norm_delta_w	spectral_norm_delta_w	nuclear_norm_delta_w
2	Q	attention.self.query	esm.encoder.layer.2.attention.self.query.lora_A.weight	esm.encoder.layer.2.attention.self.query.lora_B.weight	4	768	768	4	4	8	2	0.79452498277	0.0924653548826	0.0346184799476	0.018424481269	0.116378159136	0.0435712919018	0.0231893038841	43.1233298333	4	4	7.27409347018e-05	1.35490549173e-13	1.76633983409	0.441584958522	1.01598007722	0.253995019304	0.800848107173	0.79452498277	0.940033298869
2	V	attention.self.value	esm.encoder.layer.2.attention.self.value.lora_A.weight	esm.encoder.layer.2.attention.self.value.lora_B.weight	4	768	768	4	4	8	2	0.50400294486	0.0466011540991	0.0300623101164	0.0157737287872	0.0924620670858	0.0596470921905	0.03129689806	31.9520483495	4	4	4.6142847735e-05	8.59477515053e-14	1.80064371271	0.450160928178	1.01308650528	0.253271626321	0.507290044255	0.50400294486	0.596440137863
3	K	attention.self.key	esm.encoder.layer.3.attention.self.key.lora_A.weight	esm.encoder.layer.3.attention.self.key.lora_B.weight	4	768	768	4	4	8	2	0.564433455647	0.136900673729	0.0592208407719	0.0452314939353	0.242545285648	0.104920855026	0.0801360966165	12.4787710186	4	4	5.16754262372e-05	9.62529820152e-14	2.469574186	0.6173935465	1.07625839539	0.269064598848	0.585559490015	0.564433455647	0.805786464084
3	O	attention.output.dense	esm.encoder.layer.3.attention.output.dense.lora_A.weight	esm.encoder.layer.3.attention.output.dense.lora_B.weight	4	768	768	4	4	8	2	0.486156742589	0.0529901852144	0.0361602530946	0.0284290858692	0.108998149305	0.074379824297	0.0584772016486	17.1006814931	4	4	4.45089791189e-05	8.2904434053e-14	2.01470347905	0.503675869763	1.02083253793	0.255208134482	0.491194579491	0.486156742589	0.603736266767
3	Q	attention.self.query	esm.encoder.layer.3.attention.self.query.lora_A.weight	esm.encoder.layer.3.attention.self.query.lora_B.weight	4	768	768	4	4	8	2	0.685759089798	0.10337457937	0.0359428339155	0.0272214778112	0.15074474536	0.0524132081518	0.0396953948058	25.1918391263	4	4	6.27831197935e-05	1.16942673537e-13	1.96267472824	0.490668682059	1.02704684701	0.256761711753	0.6949710275	0.685759089798	0.852297980894
3	V	attention.self.value	esm.encoder.layer.3.attention.self.value.lora_A.weight	esm.encoder.layer.3.attention.self.value.lora_B.weight	4	768	768	4	4	8	2	0.428752311102	0.0252865083824	0.0204188084453	0.0163112009273	0.058976961121	0.0476237863133	0.0380434122568	26.2857598905	4	4	3.9253446451e-05	7.31152416225e-14	1.67573826741	0.418934566853	1.00719360818	0.251798402046	0.430291685715	0.428752311102	0.490768828857
4	K	attention.self.key	esm.encoder.layer.4.attention.self.key.lora_A.weight	esm.encoder.layer.4.attention.self.key.lora_B.weight	4	768	768	4	4	8	2	0.323500876126	0.240799003206	0.129049390196	0.0667104263177	0.744353480863	0.398915118072	0.206214051463	4.84933006702	4	4	2.9617389782e-05	5.51666874103e-14	3.46372016615	0.865930041536	1.75571961092	0.43892990273	0.428650210415	0.323500876126	0.760059695846
4	O	attention.output.dense	esm.encoder.layer.4.attention.output.dense.lora_A.weight	esm.encoder.layer.4.attention.output.dense.lora_B.weight	4	768	768	4	4	8	2	0.44283227671	0.0686710218099	0.0605883713433	0.0287903444642	0.155072304847	0.136820133784	0.0650141057426	15.3812774717	4	4	4.05425058023e-05	7.55163017703e-14	2.33902935506	0.584757338764	1.04699400268	0.261748500671	0.453118052177	0.44283227671	0.600882014327
4	Q	attention.self.query	esm.encoder.layer.4.attention.self.query.lora_A.weight	esm.encoder.layer.4.attention.self.query.lora_B.weight	4	768	768	4	4	8	2	0.616421527603	0.141251974886	0.0327331540101	0.0204946621265	0.229148348266	0.0531018995027	0.0332478039925	30.0771744271	4	4	5.64350763796e-05	1.05118521265e-13	2.08629577203	0.521573943007	1.05643419371	0.264108548429	0.633576444202	0.616421527603	0.810901318625
4	V	attention.self.value	esm.encoder.layer.4.attention.self.value.lora_A.weight	esm.encoder.layer.4.attention.self.value.lora_B.weight	4	768	768	4	4	8	2	0.374013157638	0.0410862258096	0.0242473571859	0.0203298890028	0.109852354043	0.0648302250622	0.054356079693	18.3972060834	4	4	3.4241927274e-05	6.37805597373e-14	1.96748514224	0.491871285561	1.01922508117	0.254806270292	0.377591258844	0.374013157638	0.459676629637
5	K	attention.self.key	esm.encoder.layer.5.attention.self.key.lora_A.weight	esm.encoder.layer.5.attention.self.key.lora_B.weight	4	768	768	4	4	8	2	0.295540239658	0.208587239712	0.0881478082511	0.074483329781	0.705782873945	0.298259920047	0.252024326255	3.96787093873	4	4	2.70575170585e-05	5.03985528993e-14	3.44364516578	0.860911291444	1.65060470609	0.412651176521	0.379697869816	0.295540239658	0.666758617402
5	O	attention.output.dense	esm.encoder.layer.5.attention.output.dense.lora_A.weight	esm.encoder.layer.5.attention.output.dense.lora_B.weight	4	768	768	4	4	8	2	0.429679265295	0.0494926047922	0.0274535636119	0.0200318245827	0.115184996786	0.0638931543346	0.0466204124813	21.4498316676	4	4	3.9338311642e-05	7.3273315359e-14	1.9476008388	0.486900209699	1.01952338152	0.254880845379	0.433853386647	0.429679265295	0.526657258282
5	Q	attention.self.query	esm.encoder.layer.5.attention.self.query.lora_A.weight	esm.encoder.layer.5.attention.self.query.lora_B.weight	4	768	768	4	4	8	2	0.359738471019	0.182435566499	0.0765544096821	0.0447262908541	0.507133879738	0.212805734859	0.12433001877	8.0431098611	4	4	3.29350406817e-05	6.13462937654e-14	3.05837030139	0.764592575347	1.31792900633	0.329482251584	0.412983682717	0.359738471019	0.663454738054
5	V	attention.self.value	esm.encoder.layer.5.attention.self.value.lora_A.weight	esm.encoder.layer.5.attention.self.value.lora_B.weight	4	768	768	4	4	8	2	0.382404803564	0.0431043269103	0.0225651044043	0.0150520595782	0.112719104228	0.0590084229958	0.0393615860417	25.4054803315	4	4	3.50102054044e-05	6.52115892701e-14	1.89215140274	0.473037850684	1.0177369249	0.254434231225	0.385781240111	0.382404803564	0.463126294457
