model,training_strategy,pooling,sampling_ratio,negative_strategy,loss,learning_rate,trainable_parameters,total_parameters,seed,dev_PR_AUC,dev_average_precision,calibration_PR_AUC,test_PR_AUC,test_precision,test_recall,test_F1,FP_per_million,training_time,peak_memory,experiment_id,stage,status,config_json
LAMAR,lora,center,10,hard,bce,0.0001,592129,86443922,42,0.7824762453799878,0.783378787161399,,,,,,,767.3861844539642,1540013568.0,s4_negative_hard,stage4_negative,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s4_negative_hard"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""hard"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage4_negative"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,mixed,bce,0.0001,592129,86443922,42,0.7830785480008241,0.7837597636982317,,,,,,,780.6963784694672,1540013568.0,s4_negative_mixed,stage4_negative,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s4_negative_mixed"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""mixed"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage4_negative"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,592129,86443922,42,0.8167900126502327,0.817341411529998,,,,,,,772.5292770862579,1540013568.0,s5_loss_bce,stage5_loss,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s5_loss_bce"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage5_loss"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,weighted_bce,0.0001,592129,86443922,42,0.8139648384111554,0.8146094475273011,,,,,,,780.1044549942017,1540013568.0,s5_loss_weighted_bce,stage5_loss,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s5_loss_weighted_bce"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""weighted_bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage5_loss"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,focal,0.0001,592129,86443922,42,0.7982401002495337,0.7988811082851219,,,,,,,911.5474979877472,1540013568.0,s5_loss_focal1,stage5_loss,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s5_loss_focal1"", ""focal_gamma"": 1, ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""focal"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage5_loss"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,focal,0.0001,592129,86443922,42,0.8087728713647048,0.8092906709777066,,,,,,,761.2898888587952,1540013568.0,s5_loss_focal2,stage5_loss,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s5_loss_focal2"", ""focal_gamma"": 2, ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""focal"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage5_loss"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,focal,0.0001,592129,86443922,42,0.7813392525494279,0.7819576398608002,,,,,,,652.1374382972717,1540013568.0,s5_loss_focal3,stage5_loss,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s5_loss_focal3"", ""focal_gamma"": 3, ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""focal"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage5_loss"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,297217,86149010,42,0.8204807884742715,0.8210232376674238,,,,,,,757.4107625484467,1480081920.0,s6_lora_r4_d0p0,stage6_lora_rank,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s6_lora_r4_d0p0"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.0, ""lora_rank"": 4, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage6_lora_rank"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,297217,86149010,42,0.8249772189012263,0.8254191842773719,,,,,,,773.9550638198853,1534084608.0,s6_lora_r4_d0p05,stage6_lora_rank,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s6_lora_r4_d0p05"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.05, ""lora_rank"": 4, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage6_lora_rank"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
LAMAR,lora,center,10,random,bce,0.0001,592129,86443922,42,0.7984918161184252,0.7991005038986964,,,,,,,879.6524379253387,1486010880.0,s6_lora_r8_d0p0,stage6_lora_rank,SUCCESS,"{""accumulation_steps"": 2, ""backbone_lr"": 1e-05, ""batch_size"": 16, ""epochs"": 20, ""eval_batch_size"": 128, ""experiment_id"": ""s6_lora_r8_d0p0"", ""fp16"": true, ""head_dropout"": 0.1, ""head_lr"": 0.0001, ""lora_dropout"": 0.0, ""lora_rank"": 8, ""lora_scheme"": ""qkvo"", ""loss"": ""bce"", ""mode"": ""lora"", ""negative_strategy"": ""random"", ""patience"": 3, ""pooling"": ""center"", ""sampling_ratio"": 10, ""seed"": 42, ""stage"": ""stage6_lora_rank"", ""warmup_ratio"": 0.03, ""weight_decay"": 0.01}"
