model,method,mean_predicted_probability,observed_frequency
lamar_linear_probe_mean,isotonic,0.0013858304599956455,0.0015081439774783834
lamar_linear_probe_mean,isotonic,0.0017289537252360271,0.001136202243999432
lamar_linear_probe_mean,isotonic,0.005414286942491501,0.005058394703563193
kmer_logistic,isotonic,4.713581928902302e-05,0.00025754610075203464
kmer_logistic,isotonic,9.726956023789109e-05,0.0
kmer_logistic,isotonic,0.0001244353565901028,0.000289876077976665
kmer_logistic,isotonic,0.00025450432398451274,0.0012887574861648093
kmer_logistic,isotonic,0.0003632123977421101,0.0003879276902785321
kmer_logistic,isotonic,0.0005488428109361817,0.00046871338176704945
kmer_logistic,isotonic,0.0006758200742411618,0.0003696857670979667
kmer_logistic,isotonic,0.0006894912030431298,9.580379383023568e-05
kmer_logistic,isotonic,0.0009652592559304869,0.00176444640494045
kmer_logistic,isotonic,0.0013215305893960014,0.001654795309015037
kmer_logistic,isotonic,0.002285679278422018,0.0012883830792355595
kmer_logistic,isotonic,0.0052202940226131036,0.005010406228320358
cnn,platt,7.239016577258254e-05,0.00014530659691950015
cnn,platt,0.0001492892868360148,0.00021795989537925023
cnn,platt,0.00022117330030857861,0.00014530659691950015
cnn,platt,0.00030043457724180425,0.00021797573203516675
cnn,platt,0.00039102623165310115,0.000944492879976751
cnn,platt,0.0005005599522069838,0.0006538796861377507
cnn,platt,0.000636142322579452,0.0007992443507956114
cnn,platt,0.0008134874716842456,0.0008718395815170009
cnn,platt,0.0010600290460635266,0.0007265329845975008
cnn,platt,0.0014376592346725542,0.0013078543922110004
cnn,platt,0.002124330234922868,0.0017436791630340018
cnn,platt,0.004842567636865434,0.004213891310665505
frozen_lamar_head,platt,2.6190435826846904e-06,0.0
frozen_lamar_head,platt,8.657402129797421e-06,0.0
frozen_lamar_head,platt,1.7911759773062283e-05,7.265329845975008e-05
frozen_lamar_head,platt,3.206011515985691e-05,0.00021797573203516675
frozen_lamar_head,platt,5.3303795101522275e-05,0.00021795989537925023
frozen_lamar_head,platt,8.476336280905088e-05,7.265329845975008e-05
frozen_lamar_head,platt,0.00013329274776654942,0.00014531715469011118
frozen_lamar_head,platt,0.00021152763516406605,0.00043591979075850045
frozen_lamar_head,platt,0.00035138707930756864,0.0005085730892182505
frozen_lamar_head,platt,0.0006378471534407422,0.0006539271961055002
frozen_lamar_head,platt,0.0014114240931152565,0.001017146178436501
frozen_lamar_head,platt,0.009309106737502095,0.00864574251671026
partial_lamar_2blocks,isotonic,0.0,5.8930991808592137e-05
partial_lamar_2blocks,isotonic,6.353468867424037e-05,0.00017871503887052095
partial_lamar_2blocks,isotonic,6.76246830093033e-05,0.0
partial_lamar_2blocks,isotonic,6.857801324708749e-05,0.0
partial_lamar_2blocks,isotonic,0.0001345944792826376,0.00047961630695443646
partial_lamar_2blocks,isotonic,0.00017410174367611629,0.0
partial_lamar_2blocks,isotonic,0.00035816937598326815,0.0003178134435086604
partial_lamar_2blocks,isotonic,0.0005378091205300205,0.0005090909090909091
partial_lamar_2blocks,isotonic,0.0010055376729424417,0.001103537812398572
partial_lamar_2blocks,isotonic,0.01131940227201575,0.010543184885290149
full_lamar,isotonic,0.0,2.4769642326364806e-05
full_lamar,isotonic,3.9036273105197417e-05,0.00013620266957232362
full_lamar,isotonic,4.033612694770902e-05,0.0
full_lamar,isotonic,5.7840813432826686e-05,0.00038102495713469235
full_lamar,isotonic,0.0001734595803662351,0.0004600080501408775
full_lamar,isotonic,0.00018730976352143624,9.63948332369385e-05
full_lamar,isotonic,0.00021290185224609706,0.0
full_lamar,isotonic,0.00029846607584306864,0.00016795431642593214
full_lamar,isotonic,0.000513312249984576,0.0013488450514247176
full_lamar,isotonic,0.0009017145360577674,0.0002955519432540269
full_lamar,isotonic,0.009962288417841558,0.009185682000437413
lora_best,platt,1.0026463266992823e-05,7.265329845975008e-05
lora_best,platt,1.9299630354732014e-05,0.00014530659691950015
lora_best,platt,2.779301640587384e-05,0.0
lora_best,platt,3.798042387673381e-05,0.0
lora_best,platt,5.128226420166636e-05,7.265329845975008e-05
lora_best,platt,6.950640435760028e-05,0.0
lora_best,platt,9.659507807941626e-05,0.00021797573203516675
lora_best,platt,0.00014044370518767458,0.00014530659691950015
lora_best,platt,0.00022037369780281865,0.0002906131938390003
lora_best,platt,0.0003956437469659815,0.0005812686187604447
lora_best,platt,0.0009348743773605811,0.0007991862830572508
lora_best,platt,0.010880218734329336,0.00966288869514676
