model,kind,pr_auc,average_precision,roc_auc,precision,recall,f1,mcc,brier,ece,threshold,tn,fp,fn,tp,fp_per_million,target_fp_per_million,allowed_fp
lamar_zero_shot_cls,fixed_threshold,0.002641393926369186,0.002710494559156427,0.740057318640955,0.0,0.0,0.0,0.0,0.000997184193305773,6.36467526980199e-05,0.5,165000,0,165,0,0.0,,
lamar_zero_shot_masked_mean,fp_workpoint,0.0032306748931088232,0.003316264892350586,0.7687712764003674,0.0,0.0,0.0,-7.781123419476706e-05,0.0009968841232762763,6.849110952578401e-05,0.013480117146972953,164999,1,165,0,6.0606060606060606,10.0,1.0
lamar_zero_shot_masked_mean,fp_workpoint,0.0032306748931088232,0.003316264892350586,0.7687712764003674,0.0,0.0,0.0,-0.00022008806935504635,0.0009968841232762763,6.849110952578401e-05,0.012137170213175586,164992,8,165,0,48.484848484848484,50.0,8.0
lamar_zero_shot_masked_mean,fp_workpoint,0.0032306748931088232,0.003316264892350586,0.7687712764003674,0.0,0.0,0.0,-0.00031125907119116276,0.0009968841232762763,6.849110952578401e-05,0.011372523206296883,164984,16,165,0,96.96969696969697,100.0,16.0
lamar_zero_shot_masked_mean,fp_workpoint,0.0032306748931088232,0.003316264892350586,0.7687712764003674,0.0,0.0,0.0,-0.0007047835354505412,0.0009968841232762763,6.849110952578401e-05,0.009793548793726632,164918,82,165,0,496.969696969697,500.0,82.0
lamar_zero_shot_masked_mean,fp_workpoint,0.0032306748931088232,0.003316264892350586,0.7687712764003674,0.0,0.0,0.0,-0.001,0.0009968841232762763,6.849110952578401e-05,0.008764707217504154,164835,165,165,0,1000.0,1000.0,165.0
lamar_zero_shot_masked_mean,fixed_threshold,0.0032306748931088232,0.003316264892350586,0.7687712764003674,0.0,0.0,0.0,-0.0006370396956461013,0.0009968841232762763,6.849110952578401e-05,0.01,164933,67,165,0,406.06060606060606,,
lamar_zero_shot_masked_mean,fixed_threshold,0.0032306748931088232,0.003316264892350586,0.7687712764003674,0.0,0.0,0.0,0.0,0.0009968841232762763,6.849110952578401e-05,0.05,165000,0,165,0,0.0,,
lamar_zero_shot_masked_mean,fixed_threshold,0.0032306748931088232,0.003316264892350586,0.7687712764003674,0.0,0.0,0.0,0.0,0.0009968841232762763,6.849110952578401e-05,0.1,165000,0,165,0,0.0,,
lamar_zero_shot_masked_mean,fixed_threshold,0.0032306748931088232,0.003316264892350586,0.7687712764003674,0.0,0.0,0.0,0.0,0.0009968841232762763,6.849110952578401e-05,0.2,165000,0,165,0,0.0,,
lamar_zero_shot_masked_mean,fixed_threshold,0.0032306748931088232,0.003316264892350586,0.7687712764003674,0.0,0.0,0.0,0.0,0.0009968841232762763,6.849110952578401e-05,0.5,165000,0,165,0,0.0,,
lamar_zero_shot_mean,fp_workpoint,0.0032306787119428765,0.003316272131404007,0.768771331496786,0.0,0.0,0.0,-7.781123419476706e-05,0.000996884123200021,6.849111229922412e-05,0.01348011952048001,164999,1,165,0,6.0606060606060606,10.0,1.0
lamar_zero_shot_mean,fp_workpoint,0.0032306787119428765,0.003316272131404007,0.768771331496786,0.0,0.0,0.0,-0.00022008806935504635,0.000996884123200021,6.849111229922412e-05,0.012137172274821972,164992,8,165,0,48.484848484848484,50.0,8.0
lamar_zero_shot_mean,fp_workpoint,0.0032306787119428765,0.003316272131404007,0.768771331496786,0.0,0.0,0.0,-0.00031125907119116276,0.000996884123200021,6.849111229922412e-05,0.011372525094067599,164984,16,165,0,96.96969696969697,100.0,16.0
lamar_zero_shot_mean,fp_workpoint,0.0032306787119428765,0.003316272131404007,0.768771331496786,0.0,0.0,0.0,-0.0007047835354505412,0.000996884123200021,6.849111229922412e-05,0.009793550331979305,164918,82,165,0,496.969696969697,500.0,82.0
